# parameters
version_bit_string:13816762181795971082,seed:5489,burn_in:10000,num_iter:100000,stats_thin:1000,block_penalty:50,prior_rate_mean:1,window_size:50,partition_length:4001,overlap_length:200,pade_resolution:10,pade_max:1000,max_lk_start:0.001,max_lk_resolution:0.001,num_snps:469,num_snp_partitions:1,num_samps:100
# left_snp right_snp mean p0.025 p0.500 p0.975
8 153 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
153 166 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
166 206 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
206 267 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
267 279 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
279 301 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
301 443 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
443 531 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
531 620 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
620 643 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
643 703 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
703 740 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
740 911 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
911 930 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
930 931 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
931 975 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
975 1003 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
1003 1026 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
1026 1073 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
1073 1130 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
1130 1242 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
1242 1414 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
1414 1444 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
1444 1454 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
1454 1461 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
1461 1562 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
1562 1625 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
1625 1739 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
1739 1762 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
1762 1775 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
1775 1908 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
1908 1924 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
